,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,artist_num
109,38,ちょべりGood Time,ちょべりGood Time,Shoko Nakagawa,2015-10-21,275693,4,6,1,0.585,0.0053,0.891,0.0,0.391,-3.595,0.0371,162.088,4,0.886,2
110,39,ゆめゆめ,ゆめゆめ,DECO*27,2012-04-18,220520,11,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698,2
111,40,Yumeyume,Yumeyume,DECO*27,2012-04-18,220520,21,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698,2
112,41,ライトラグ,ライトラグ,DECO*27,2011-07-27,209813,8,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727,2
113,42,Light Lag,Light Lag,DECO*27,2011-07-27,209813,11,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727,2
114,43,愛されなくても君がいる,PINOCCHIOP BEST ALBUM 2009-2020 寿,PinocchioP,2021-03-03,272000,14,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,2
115,44,Because You're Here,PinocchioP Best Album 2009-2020 Kotobuki,PinocchioP,2021-03-03,272000,16,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,2
116,45,Intro,Do you know kolme?,kolme,2019-11-20,72120,1,7,1,0.437,0.00537,0.82,0.000339,0.269,-6.506,0.119,128.085,4,0.823,2
117,46,モザイクロール,EXIT TUNES PRESENTS Gumissimo from Megpoid ―10th ANNIVERSARY BEST―,Various Artists,2019-06-19,186000,13,5,1,0.515,0.00104,0.919,0.926,0.326,-3.623,0.0534,145.039,4,0.595,2
118,47,Amekigoe Zankyou,Toukyou Plugless,Various Artists,2016-02-17,163586,28,0,1,0.358,0.733,0.41,0.0,0.111,-7.519,0.0292,82.019,1,0.445,2
119,48,雨き声残響(カバー),灯響プラグレス,Kain,2016-02-17,163586,22,0,1,0.358,0.733,0.41,0.0,0.111,-7.519,0.0292,82.019,1,0.445,2
120,49,Invitation,ウタカタリレイション,Various Artists,2015-12-29,143453,10,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85,2
121,50,Invitation,Utakatarelation,Various Artists,2015-12-29,143453,3,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85,2
122,51,無限∞ブランノワール,無限∞ブランノワール (Complete Edition),Shoko Nakagawa,2015-10-28,276386,0,8,1,0.44,0.0468,0.971,0.0,0.0486,-3.573,0.118,154.874,4,0.293,2
123,52,Streaming Heart,Exit Tunes Presents Numbers,Various Artists,2015-08-19,181117,34,1,1,0.612,0.00179,0.888,0.0272,0.339,-10.697,0.0752,105.016,4,0.729,2
124,53,Critical Line,Krad Matrix (Limited Edition),Various Artists,2015-03-18,214590,8,3,0,0.593,0.089,0.993,0.000165,0.169,-3.398,0.0658,127.984,4,0.557,2
125,54,Mosaic Roll,Exit Tunes Presents The Best Of Gumi From Megpoid,Various Artists,2015-03-11,183600,19,5,1,0.538,0.0018,0.933,0.807,0.333,-2.75,0.0581,145.023,4,0.62,2
126,55,CRITICAL LINE,KRAD MATRiX,Kradness,2015-03-04,214590,6,3,0,0.593,0.089,0.993,0.000165,0.169,-3.398,0.0658,127.984,4,0.557,2
127,56,カゲロウデイズ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,235856,31,4,0,0.557,0.347,0.97,0.0,0.924,-2.205,0.0794,100.006,4,0.661,2
128,57,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,8,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,2
129,58,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,1,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,2
130,59,Project Diva desu. -MIKUNOPOLIS in LOS ANGELES Live-,MIKUNOPOLIS in LOS ANGELES “はじめまして、初音ミクです”,Various Artists,2011,181053,21,8,0,0.519,0.00787,0.987,0.00896,0.973,-4.804,0.144,132.037,4,0.232,2
132,0,おじゃま虫Ⅱ,おじゃま虫Ⅱ,DECO*27,2021-06-19,233847,37,4,1,0.673,0.0227,0.902,1.7e-05,0.152,-3.996,0.0293,142.99,4,0.973,2
133,1,アンダーカバー,アンダーカバー,DECO*27,2021-05-13,204380,34,2,1,0.542,0.00462,0.93,9.43e-06,0.308,-4.433,0.0668,92.54,4,0.697,2
134,2,セカイ,セカイ,DECO*27,2021-04-09,255686,37,8,1,0.571,0.0016,0.86,1.27e-05,0.174,-4.98,0.0403,132.991,4,0.817,2
135,3,needLe,needLe,DECO*27,2021-04-09,226408,32,1,0,0.524,0.00025,0.956,8.86e-06,0.168,-4.152,0.0579,95.063,4,0.848,2
136,4,ヴァンパイア,ヴァンパイア,DECO*27,2021-03-09,178235,62,1,0,0.555,0.0096,0.955,0.0,0.329,-4.073,0.048,164.028,4,0.955,2
137,5,ハートインパルス,ハートインパルス,FUZI,2020-12-19,198677,21,9,1,0.395,0.00054,0.977,0.000439,0.339,-4.522,0.2,200.138,4,0.598,2
138,6,ネオネオン,ネオネオン,DECO*27,2020-11-27,185957,27,6,1,0.737,0.0886,0.704,0.000124,0.114,-5.16,0.0353,129.98,4,0.762,2
139,7,アンデッドアリス,アンデッドアリス,DECO*27,2020-10-30,209952,27,8,1,0.545,0.0111,0.948,0.0,0.135,-3.653,0.0694,175.965,4,0.855,2
140,8,ポジティブ・パレード,ポジティブ・パレード,DECO*27,2020-02-26,183373,38,5,1,0.507,0.0164,0.883,2.37e-05,0.116,-3.958,0.0871,155.111,4,0.85,2
141,9,ネガティブ進化論,ネガティブ進化論,DECO*27,2019,191357,30,3,0,0.65,0.0227,0.948,1.59e-06,0.334,-3.349,0.079,139.977,4,0.901,2
142,10,39,39,sasakure.UK,2018-08-23,219979,32,6,1,0.489,0.0144,0.818,0.0,0.044,-3.723,0.0354,175.069,4,0.856,2
143,11,ゆめゆめ,ゆめゆめ,DECO*27,2012-04-18,220520,11,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698,2
144,12,ライトラグ,ライトラグ,DECO*27,2011-07-27,209813,8,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727,2
145,13,砂時計,ライトラグ,DECO*27,2011-07-27,192173,3,5,1,0.568,0.0142,0.673,2.71e-05,0.195,-2.72,0.0351,102.036,4,0.578,2
146,14,ペダルハート,ライトラグ,DECO*27,2011-07-27,236571,2,4,1,0.502,0.0157,0.807,0.0,0.17,-4.08,0.0321,139.994,4,0.581,2
148,0,RENAISSANCE,RENAISSANCE,Utsu-P,2019-10-16,59799,22,1,1,0.495,0.462,0.446,0.459,0.0919,-13.635,0.325,97.906,5,0.172,4
149,1,骸Attack!!,GREATEST SHITS,Utsu-P,2018-10-03,233069,44,11,0,0.523,0.00241,0.982,0.0033,0.433,-3.613,0.178,90.075,4,0.503,4
150,2,ガラパゴスで悪いか,GALAPAGOS,Utsu-P,2017-08-30,137338,27,4,1,0.511,0.000247,0.988,0.78,0.109,-2.352,0.0811,110.001,4,0.221,4
151,3,Constipation Of Death,Post-Traumatic Stress Disorder,Utsu-P,2016-08-10,244067,25,11,0,0.218,4.2e-06,0.994,0.891,0.0574,-2.961,0.222,110.0,4,0.0391,4
152,4,終のファンタジー,ALGORITHM,Utsu-P,2014,226983,23,0,0,0.286,0.000215,0.976,0.877,0.133,-3.245,0.122,103.974,4,0.235,4
153,5,MOKSHA (emancipation),MOKSHA,Utsu-P,2012,47043,13,2,0,0.348,0.85,0.344,0.278,0.242,-10.083,0.0347,69.763,3,0.647,4
